Tweet,HateSpeech
po moje so že tam in so pred časom k nam prileteli tako da bi z izstrelitvijo počakal,2 žalitev
to je lahk človk še ne vem kolk depressed ko ga to sprav v dobro voljo,2 žalitev
in ne zgolj to po trejlerju sodeč je lisbeth salander nov batman,0 ni sporni govor
pravi povolilni golaž cmarim že 4 ure jutri bo fešta v družini kar trije prvoobhajanci,0 ni sporni govor
levice so polna usta človečnostiahmad za stotisoče slovencev ki živijo pod pragom revščine to ne velja,0 ni sporni govor
zaradi rogljiča tak cirkus zaradi davkov ko pa so šli milioni in miljarde v oaze pa tihoprav je naredil in to javno oznanil,2 žalitev
so debila ki je pred meseci po kolesarski progi napeljeval žico med drevesi vrli varuhi zakona že našli,0 ni sporni govor
in najbolj nagravžno ker klerotalibanka kaže na modela zgoraj,0 ni sporni govor
me prav zanima če nam bo in kako voščil naš kurc,0 ni sporni govor
včeraj smo prvič cufali na v novem študijskem letu,2 žalitev
a ni že izraz levi in desni sodniki katastrofalen sploh v kontekstu sojenja,0 ni sporni govor
vodilni so v zadnjem gresili fak ne deset sekund za novo medaljo,2 žalitev
kaj ni to tisti ki se je kotalil po parlamentu v šlosarskem kombinezonu,0 ni sporni govor
povrh vsega uničili 99 arhivov kar je ostalo pa še preprečili vpogled očitno res vse čisto po merilih,0 ni sporni govor
to pa zgleda kot mešanca med pujskom in ovcotega pujsa lahko briješ kot ovco kaj bo to zdej 100 pujsja volna,2 žalitev
tole je majster samo po nove gume skočil ker ko ukradejo platišča avto odložijo na tla ne pa tkole skrbno podložijo,0 ni sporni govor
rokometaši se ne predajajo selektor vujović napovedal spremembe,2 žalitev
mladina ni slovenski medij je udbovski medij v slovenščini,2 žalitev
bos sedela z mano,2 žalitev
ni največji problem v tem da politiki stresajo takšne nebuloze huje je da jih msm nekritično povzemajo in celo zagovarjajo,0 ni sporni govor
ko je vaš minister gašperič na hearingu trdil da slovenija drugega tira še 20 let ne potrebuje ste bili čisto tiho,1 nespodobni govor
za eno obamovo svetovalko je tvitnila da je kokr otrok muslimanske bratovščine in planeta opic,0 ni sporni govor
16 velikonja najprej z lepim preigravanjem v kazenskem prostoru nato pa še rutiniran zaključek za vodstvo budafoki mte 01,2 žalitev
mi smo doma temu rekli rožica med rožicami so se vedno tudi v cvetlični gredi skrivali in kukali ven,2 žalitev
baje se vazelinnarjem in židanusd v sanjah prikazujejo fašisti večini čez dan pa komunisti vzporeden svet v vzgoji prašičev,0 ni sporni govor
kako pa izgleda to ideolosko oz neideolosko urejanje prometa,0 ni sporni govor
zda in zavezniki skušajo zasluge za uničenje islamske države pripisati sebi,2 žalitev
na a kanalu pa našteli veliko afer bmv lažni magisterpa tako mlad,0 ni sporni govor
ko to rdeče babše postaviš pred dejstvo te pa blokira,2 žalitev
misli da ve kako se tej reči streže ampak tokrat se mu utegne načrt sfižiti propaganda gor al dol,2 žalitev
to se mi sliši kot bi v sili vsak še muhe žrl čas je za novo stranko tretja pot,0 ni sporni govor
nima veze s socializmom saj poznate poskuse z elektrosoki ljudje pač raje izberejo komformizem kot zdravo pamet,2 žalitev
levica sestradanim beguncem mesečno stisne 30 eur v roko sebi pa 1900 v žep temu pravi človekoljubnost,2 žalitev
ti razumniki ali nerazumniki se večinoma napajajo pri koritu,0 ni sporni govor
že sedaj se vidi iz poročil v medijih da so balkanski varnostniki menda zlizani z kriminalom,0 ni sporni govor
itak nujno julen se lahko izvleče le če real ta teden izdatno nabije plzen in barco čeprav lahko pade celo že jutri,0 ni sporni govor
se priporočam tud jaz no mi dal deko čez ki jo perem in dam v sušilec drgač pa sesalc,2 žalitev
čestitke res inovativen slogan in aktivnosti upam da cse bolnišnice skupaj z akcijami uspemo dvigniti prag precepljenosti,0 ni sporni govor
so bili to kolaboranti in narodni izdajalci bili so begunci pred komunističnim terorjem in morijo,0 ni sporni govor
prodamo 3 sobno stanovanje v centru maribora za 105000 eur več na prodamo urejeno 3,0 ni sporni govor
bo zaradi neustreznega načrtovanja gradnje urgentnih centrov kdo odgovarjal,2 žalitev
ne mi več mazat ekrana s takim slikam zdej ga bom moral dva dni pucat,2 žalitev
hvala za nagrado žal so me na fb blokirali tako da se tuki zahvalim,2 žalitev
edino kar znajo se znajo zapufatto jim je že kar v navado prišlo,2 žalitev
to je bilo najverjetneje namenjeno na krožnike italijanskih gurmanov najbrž dobro plačajo,2 žalitev
ja pa res ne vem kako jim delujejo možgani lep dan brez dežja bo danes,2 žalitev
ali pešci ki prečkajo kolesarsko ne da bi pogledali kot da so sami takle mamo,0 ni sporni govor
cela jeba veš kaj bom naredil šel bom na en kolesarski izlet po ljubljani in lepo plačal te pizdarije na okencih,0 ni sporni govor
nedotakljivih ne bo več to je nujno za prekinitev tranzicijskih zablod planet,0 ni sporni govor
cel ppdan se vrti ko prdec v hlačahpàše mu amp čaka še da bo noč mirna no šip on tjusdaj,2 žalitev
v ozp koalicija brani zmerjanje orbana in janše z nacistom v mladini spletni časopis,0 ni sporni govor
glej anketo o popularnosti strank ki jo za novo tv 24 pripravlja persival,0 ni sporni govor
ja sem preverila na poptv za nazaj po njihovih informacijah naj bi se zažgal bolnik ki je imel pri sebi vžigalice,0 ni sporni govor
jebem jim mater a v celem posavju en šeftar nima zadnjega platišča za golfa iv,2 žalitev
držijo se tehnike odkrivanja odkritega lagodno in varno,0 ni sporni govor
učni poligon za šolsko terensko delo,2 žalitev
naj bi bilo cedalje boljspa mam obcutk da je cedalje slabs,0 ni sporni govor
po mojih izkušnah gre največkrat za kšn novokvarjen kos strojne opreme če se win10 tkole obešajo maš kej novega prkloplenga,0 ni sporni govor
porodniško je treba razdelit na 50 nujno mater in 50 nujno očeta pa bodo vsi ti problemi čudežno izginili,2 žalitev
lectrofan micro je dbest hoje sicer ne bo popolnoma nevtraliziral lahko pa vseeno pomaga,1 nespodobni govor
čestitamo vsem nagrajencem še posebej pa arhitektom dekleva gregorič za nagrado prešernovega sklada,2 žalitev
danes bi lahko spala do enajstih če bi želela ker nimam fizioterapije uganite kdo je že 10 minut zbujen,0 ni sporni govor
kaj kapitalizm komunisti ti šele prodajajo zrak,0 ni sporni govor
fanta pojdita raje gnoj premetavat bo več koristi ne pa vajinim staršem sramoto delat,0 ni sporni govor
nevladniki pozivajo ministrstvo k prepovedi baterijske reje bolj nujno halal in kušer zakola,0 ni sporni govor
sony xperia go je dober telefon ampak servis ki ga ima je pa katastrofa ni prijaznosti strokovnosti,2 žalitev
lahko se vprašamo kako da sploh vodi ob taki turbo centrifugi obratov pranja možganov ob teh komi manifest praznikih,2 žalitev
naj nekdo označi ki seveda ni blokiran nazy lucy naj še kaj več pove o tem kokice so pripravljene,0 ni sporni govor
novi čudežni deček slo desnice se oglaša iz prestolnice demokracije budimpešte,0 ni sporni govor
naloga medijev je pa da ga dajote na 100 ignore razen nacističnih,0 ni sporni govor
v slo bodo še naprej volkovi medvedi in zajci ne bo več recimo in podobne družbeno nekoristne navlake,0 ni sporni govor
klovn so ga že nagnali iz nl tam lenuhov ne rabijo,2 žalitev
zavedni slovenci ne dopostujejo na hrvaškem sicer pa se je pustijo le ped,2 žalitev
vrla punca malo eno cunjico nacufa pa vsa črna čreda podivja in niti rdeča ni ta krpa,2 žalitev
dohtarji vedo povedat da so se po bolnicah razpasle plave sestre zato je treba s sindikatom v napad češ da so preobremenjene,0 ni sporni govor
in ljudstvo še kar podpira udboforum21 kriminalce to podalpsko pleme slovenceljnov ima res vakum v glavah,2 žalitev
haha izbira igralca gotovo namiguje na to drgač pa še kar bolan cast,2 žalitev
če je novkovič predstavnik gospodarstvenikov se ne čudim da je naša ekonomija v kurcu ča,2 žalitev
na našo pevko za zvečer v vinotoču tržnice koseze,2 žalitev
ko novi obrazi v levici govorijo o humanitaranosti kot razlogu da so se pridružili levici se kordišu v ozadju dela velik cmok v grlu,2 žalitev
nenasvet zlate ribicekormorani in ribe ne morejo skupaj živeti pod vodo,2 žalitev
jih je tudi precej orto levičarjev ki so me blokirali in kao sredinski brez skrbi,0 ni sporni govor
potovanja po svetu z raketami v nekaj minutah na drugem koncu sveta,2 žalitev
to ni čudno ampak skladno z volilnim izidomkretensko,0 ni sporni govor
na tvju je zvezdana na mute v glavi pa slišim artača z smejim se,0 ni sporni govor
čez 14 dni bo verjetno jamral da se v šoli sončkom premalo individualno posvečajo,0 ni sporni govor
joj mi dvignejo pritisk izjave da imamo dovolj lačnih otrok tu ne moremo še za tuje poskrbetme zanima če so ti ljudje kdaj našim pomagali,2 žalitev
poleg tega dnevno ustrahuje uslužbence oš kamor hodi njegova hčerka nič mu ne morejo,2 žalitev
noben pastir krav ne more rešiti pred nasilnim medvedom za to so potrebni lovci,0 ni sporni govor
mafijsko je futura ki na trgu ne blesti dobila 3miljonski posel z židanom vse kaže na dogovorjen koruptivni posel strankesd,2 žalitev
imo nimajo nikakršne omembe vredne baze fanov sploh po fiasku z goljufanjem,0 ni sporni govor
24letnik je ustrahoval osebje v šempetrski bolnišnici grozil jim je z nožem,2 žalitev
triti štuk u mriže prevod tretje nadstropje v mreže,0 ni sporni govor
popoln osebni in poslovni uspeh je serija brezplačnih webinarjev ki jih je za nas pripravila saša einsiedler,2 žalitev
okrutneža ostudna ko mi je mozeg povezal tnalo sekiro in mačko sem ugasnil v keho naj ju strpajo,2 žalitev
za vsakega ki mu je potekel rok trajanja dobiš 1 mi na pokopališču,0 ni sporni govor
ko se neumnost in sovražnost združita proizvedeta simono škoda pa tako ljubka deklica si bila,0 ni sporni govor
še enkrat slovenska vojska nima kaj iskati v u slovenski vojaki po napadu irana zapuščajo,2 žalitev
med uspešnimi v vladi je kar nekaj konkurence dve sta morda res pri vrhu po uspešnosti uničevanja svojega resorja,0 ni sporni govor
oglas za nogometno tekmo slo ima nov dres pridite in si ga oglejte v živo odpustite osebo v marketingu,0 ni sporni govor
hahahaha zdaj že magijo prodajajo kot orožje d d d,2 žalitev
to ni kretenizem to je bolezen in kot vsako drugo živo bitje si zasluži pomoč in usmiljenje,2 žalitev
ni slabo tudi zavarovat stanovanja za namen oddajanja,0 ni sporni govor
če kdo v tej državi ga zagotovo razumeš ti žal je vajinih sledilcev premalo da bi se v političnih glavah kaj premaknilo,0 ni sporni govor
ubogi komunistični ritolizniki ker nimajo pameti se povsem prodajo,0 ni sporni govor
če ne vidijo da se peljejo po pasu rezerviranem za buse je čudno da se zaletijo,0 ni sporni govor
sramota da se kupujejo taka pregrešno draga vozilakaj pa reševalni helikopterji to pa nobenem ni mar,2 žalitev
kako pameten tajkun pravočasno zapre posel in zabriše sledi za seboj,0 ni sporni govor
na facebooku sem objavil 12 slik v albumu detektiranje izkop in uničenje letalske bombe ostaline druge sv,2 žalitev
ček tonček je vsako jutro zgodaj vstal in preštel čice,0 ni sporni govor
protest babic in dedkov pred televizijo wdr kjer so otroci prepevali o babici okoljski svinji via,2 žalitev
ko pa zaradi putina zablokirajo pol slo to ni problem za nebulozatorko,0 ni sporni govor
ne vem če je glih pica ključ do ženskih src,2 žalitev
mogoče ga pa lahko prepričaš da začne spremljat fuzbal in manunited,0 ni sporni govor
poženščeni moški vodijo seminarje za prave moške in ustvarjajo budalaste moške,2 žalitev
pohvalno za defenzivno in voznikom prijazno vožnjo glede bontona teh treh voznikov pa dobrota je sirota,0 ni sporni govor
sej tonavajena na kamot pa široko in ohlapnozdaj pa ti eleganco iz tega potegn,2 žalitev
ali nekdo spušča ognjemete ali pa strelja petkrat v vsakem primeru pa wtf,2 žalitev
stal mirnopartizanski pevski zbor je pravkar na kongresnem odpel vstala primorska,2 žalitev
ne morejo splezati z drevesa ne znajo lahko samo padejo kot tisti njihovi temni bratje z afriške celine,0 ni sporni govor
toliko ene propagande pa za smrečje prvič slišim,0 ni sporni govor
acc 2012 voraksapar zmanjša pojavnost aterotrombotičnih dogodkov korist ne odtehta tveganja pri vseh bolnikih,0 ni sporni govor
z njimi boste lažje premagovali bakterije drugo umazanijo in neprijetne vonje,1 nespodobni govor
če tw dopušča malo popravi zadnji stavek v ko posanci levice dobijo toliko kot zasluži uspešen manager,2 žalitev
jaz jih obešam na štender za sušenje perila lepi so ni kaj,0 ni sporni govor
to dela zaradi enega župana ali pa novinarjevtako se morš znajtnaslovnica novic novinarska rit,0 ni sporni govor
naj me koklja v rit brcne če je v tem tvitu kaj smiselnega ćcraze,2 žalitev
jutri bo spet en kup tečnega folka blodilo naokoli luna ornk trka pol planeta,0 ni sporni govor
a te ni sram da imaš tako veliko rit najprej sem morala slišano sprocesirati ker enostavno nisem bila,0 ni sporni govor
čez 15 min začnemo s predvajanjem filmov za vstop prost,0 ni sporni govor
rusinje prihajajo plus tvitmit iz zasede z,2 žalitev
ne nori a hočeš da dobi luknjo v želodec kar lepo počasi z aspirinčki bolje coldrex,2 žalitev
zakrknjenega sdsovca sem pripravila do tega da mi je odgovarjal na vprašanja in ne samo monologiziral uspeh posebne sorte,2 žalitev
proizvajalci namenoma vgrajujejo napake da telefon ne zdrži več kot 2 leti,0 ni sporni govor
komunikacijsko in drugače podhranjenih ni treba imeti rad jih je pa res kar nekaj na levi in na desni strani,0 ni sporni govor
židan je zagrozil če ne bodo stopili skupaj bo prišel parkelj janša,2 žalitev
zdej me je pa revček blokiral ko mu nisem nasedel na njegov kripto progresivizem,0 ni sporni govor
četrt deci gina pol deci sweppsa deci zmiksane lubenice brez košic serviraj mrzlo,2 žalitev
med šaltanjem kanalov naletel na grozečo prikazen na hbo 2 zdaj jo gledam da se bo ponedeljkovo jutro zdela bolj mila izbira,2 žalitev
ko podgana zmerja je psica lahko kompliment,2 žalitev
jutranje navdušenje nas snegom se je spremenilo v obup 10cm vode povsod,2 žalitev
v prodajalni sens modna revija moških modnih oblačil,0 ni sporni govor
najlažje je na ta način ali pač na bruhanje mi gre,0 ni sporni govor
takrat ko niso še kazali odprto svojih komunističnih želja vsi zananji ministri pa obožujejo rusijo zato,0 ni sporni govor
participativno povišanje davkov za gradnjo socialističnega paradiža,0 ni sporni govor
kaj če bi raje svojo moč izrabili za deportacijo tistih ki nam dobesedno režejo vratove ne pa za tepež lastnega naroda,2 žalitev
totalno neumesna kdaj bo janša dobil vabilo šarca imate za levičarja trump je republikanec non sens tale vas čivk,2 žalitev
po 3 letu je običajno bolje tri smo dali čez so se toliko utrdili v vrtcu da potem sploh niso bili več bolani,2 žalitev
po enega oz dva komunista so prišli to mi deli trump oglasite se na čaj,2 žalitev
ti si bolj nov na tviterju takele skret papirje smo že vse videli in v wc školjko plagiat s trstenjakove,0 ni sporni govor
naučite se nadzorovati svojo impulzivnost in se vedite bolj razumsko,2 žalitev
handle jim je majčkeno popihal v tvitu sicer pa se trudijo,0 ni sporni govor
kakšni primitivizmi moj sin ki študira švedščino pravi da na faksu švedski zdaj rečejo kar švedistan,2 žalitev
peugeot boxer 22 z dodatno vgrajenim hladilnim sistemom izklicna cena 8500,0 ni sporni govor
eh no sta žič pa ze porihtala glavobole p,0 ni sporni govor
že že a ko so opice postale ljudje so se jim skisali možgani,2 žalitev
no lepa gesta pri nas pa se samo krade in krade in fermo zafurajo in jim za nagrado še izplačajo visoke zneske,0 ni sporni govor
te eyeliner štampiljke nobelovo nagrado za moj duševni mir si zasluži izumitelj vsaj to,0 ni sporni govor
baje jih bo moral ravhnkar celo razklati na pol da bo meritev veljavna ker mora meriti v notranjosti polena,2 žalitev
švedska do volitev uvaja mejni nadzor na letališčih in v pristaniščih bodo zdaj evidentirali migrante in skušali omejiti kriminal,2 žalitev
govorim o medijskem ostalo pa vemo kdo organi pregona in sodnija,0 ni sporni govor
20 olimpija pritiska še naprej do strela z glavo je prišel miškić,2 žalitev
psihiatrija take paciente odklanja ker imajo lahko probleme z udbo sprejema pa take z posegi lobotomije elektrošoka,0 ni sporni govor
na fitnesu ena drobna rusinja take kilaže premetava da sem se odločila da je zihr v kgb ker jaz niti pod razno ne dvignem tega,2 žalitev
no to to kar počne junker je vseh vrst nadlegovanje,0 ni sporni govor
ampak res matjaž ne morem in ne morem razumeti kako delujejo možgani teh žensk,0 ni sporni govor
serpentinšek uporabil besedo pocar zdaj mu bo še za 5 zrasla uspešnost odgovarjanja na vprašanja,2 žalitev
sedaj bodo tihotapci ilegalcev z ladjami kar po vrsti nasilno in nezakonito vpluli v pristanišča italije,0 ni sporni govor
bush je trdil da ma irak jedsko bombo pahor pa trdi da ima šiško orožje,2 žalitev
zahtevam da mi tvoja mama časti vse rupurute ki jih bom rabil od danes naprej čina,2 žalitev
saj nihče ni testiral socializma kot je na papirju nikjer verjetno bi kakšna hipi komuna šla uizi skoz,0 ni sporni govor
sramota za celo zdravstveno sfero od fakultete sole ministrstva zbornice,0 ni sporni govor
obvestilnik levice podpiši peticijo za ukinitev dopolnilnega zavarovanja tudi ti,2 žalitev
glede na izbor nastopajočih je prej za pričakovat jamranje v zboru kot polemiko,0 ni sporni govor
presenecena vas zebe pridite k nam malo jaz za spremembo se v kratkih,0 ni sporni govor
v dr kongo smrtonosni streli policistov na protestnike,2 žalitev
grozljivo kaj počno migrantski atomski fiziki kemiki inženirji in zdravniki,0 ni sporni govor
mah nikar tako hitro tulit kliiiime toplo vreme je krasen inkubator ta vse sorte kukce v zraku,2 žalitev
ta moj twit leti na zadrega rdeča samot in ne na janšo,2 žalitev
masiranje lastnega ega ni dobro za sodnika res ne malo samovšečnosti ok ampak maneken z njo pretirava,0 ni sporni govor
tako zre v prihodnost,2 žalitev
ohh čudovita jaz to ves čas govorim čeprav tole kar ti skupaj spraviš je pa že orenk nadstandard res šik,2 žalitev
iz mladine v reklami pravijo da je to napad na suverenost države,2 žalitev
ne upajo ti izrojenci napisati na papir ali splet b o ž i č,0 ni sporni govor
zaradi izlitja taline iz železarne štore gasilci in policisti izvajajo preventivno evakuacijo okoliških prebivalcev,0 ni sporni govor
na nova24tv že vedo saj imajo kader nagrajen z zlatim stojanom,2 žalitev
po protokolu movembra se danes obrijes in potem puščaš ves mesec kar koli ti je pač všeč,0 ni sporni govor
moraš se zavedati da vzgoja ki pusti globok pečat ni nekaj kar bo rešil internet,2 žalitev
pa samo v pon jih lahko se fazaniramo ns so cel tedn gonil vsak dan sm prsla cist crna domov,0 ni sporni govor
prvi kanal nova24tv jim je za drek kaj jim bo se 2,0 ni sporni govor
med desnico in to ni nsi ali ostale levičarske stranke preziram pa vse bivše ali sedanje levake,2 žalitev
še slabši je oni v mbcvikl samo naklada in nič ne obljubi da bo kaj naredil ženagapoznaizmladihlet,2 žalitev
super makedonci so v celoti propalikomunisti so jim zadali smrtni udarecmakedonije ni več,2 žalitev
poznam daljna sorodnica bolj odločne ženske še nisem srečala top,2 žalitev
boter sreča soseda in tajebi gakaj jebi ga vpraša boterja tokaj toto da ti odpadki niso okolju in ljudem nevarni,2 žalitev
ne morem verjet vi ki ste pokopali etiko in moralo sedaj še na debelo lažete narodu v obraz fuj,2 žalitev
dragi antofašisti zahvaljujem se vam za čestitke in vam sporočam da bi v boju proti komunizmu prisegel še enkrat,2 žalitev
stisnit je treba čez ene 10 minut pa imet twitter zraven odprt potem se možgani ugasnejo in je to to,0 ni sporni govor
32 milijonov akrapovičevega denarja a veste koliko kondomov za nezakonite migrante bi lahko kupilič,0 ni sporni govor
nemci in ljubljančani so že izvohali italijane pa prestreže oštarija,2 žalitev
ne vem če ni moj lajf prekratek za take torture jo bom raje še naprej sprot sputzala čeprav ne v nulo,2 žalitev
predpisala mi je 113 saj ne vem če kaj manj boli al se mi že jebe,2 žalitev
vnuki so naše zlatoin ja kar cartaj ga ker prehitro odrasejobova se že srečali nekoč nekje,2 žalitev
še ne še si je pa spomnila da jih moram tisti ograbek nabrati da bo za kremco,0 ni sporni govor
dominika pameten predlogzal jih naredijo zato da se zaredijo v druzbo,1 nespodobni govor
tale je kar poln populizmov nekako v smeri razvoja dogodkov medtem ko je izvoren namen ravno obratno druzbena kriticnost,0 ni sporni govor
dragi dokazano je da se 80 pameti podeduje od matere pa kaj še od očeta pa samo 35,0 ni sporni govor
točno imej enkrat jajca in povej ivanu v obraz kar mu gre drugače boš samo njegov pudelj,2 žalitev
najboljši komad za popevko tedna galsujte,1 nespodobni govor
janša je resna grožnja za ukinitev vseh zaslužnih pokojnin tistim slovencem ki so 271 1945 osvobodili auschwitz,2 žalitev
katastrofalno vodenje oddaje gostje obup eden je priključen na elektriko eni so očala v napoto,2 žalitev
med reklamami bom skačkala cele copatke in napisala en kup tvitov,0 ni sporni govor
če je obljubil še ni dal partljič še vedno računa na mb sodstvo da se bodo izvlekli s kakšno zvijačo,0 ni sporni govor
podpora od a do ž p preudarna podpora ivan oman hvala,0 ni sporni govor
brez koristi in dovoljenj ti politikov ampco da se uniči premoženje ki smo ga mi ustvarili ne gre,0 ni sporni govor
medijska blokada kot v najsvinčenejših časih kdo bi rekel da smo leta2017,1 nespodobni govor
ukradli so mi denarnico in to tako glupi ljudje da je niso znali odpreti in so mi jo uničili preden so jo vrnili ven so denar pobrali,0 ni sporni govor
o jedilni bučki čajoti gladki in bodičasti in sadikah v prodaji,0 ni sporni govor
valda za otepač in kloako bolj higiensko od papirja ajde tud zube loh pereš če je sila d,0 ni sporni govor
prihaja bučen zvok z metalnim priokusom ex eye kakopak,2 žalitev
tajfun največja tole ti sesuje državo nazaj v kameno dobo nje pa ne moreš niti opraskati,2 žalitev
tbone je goveje meso ne samo da si nestrpen bedak tudi hudičevo nerazgledan si,2 žalitev
tip kupi delnico greznice24 pol pa drugim govori da niso normalni rofl,0 ni sporni govor
čefurka kaj ti braniš socialno državo pred tem ste pa pokradli vse kar ni bilo pribito,0 ni sporni govor
mater sem jedel konjske hrenovke in zdaj me na vsak način naganja da bi šel teč heh,0 ni sporni govor
ej proti krcem skoraj takoj pomaga sumeca tableta magnezija meni se to skos dogaja namrec,2 žalitev
ko je bil dec še dec baba pa baba časjeblobolš,2 žalitev
po l 2030 bencinarjev na cesti ne bo več ja in naftni lobi kot najmočnejši na svetu bo vrgel puško v koruzo in se predal,2 žalitev
kriv je pa matoz al šalabajzerji ki ne znajo pravilno vročiti pošte,0 ni sporni govor
snežinke se mešajo z dežjem končno je program na diva tv dobil smisel,2 žalitev
video kako deluje f1 varnostni avtomobil,0 ni sporni govor
45ega so pri nas sodili komunisti in drhal ki je prevzela oblast bog sodi na koncu,0 ni sporni govor
kdor pije rum pred deveto zjutraj ni alkoholik ampak gusar,0 ni sporni govor
also lpp trole v taksnem vremenu jz vidim vsepovsod samo 739201 priloznosti da zdrsnem in fuknem k slon,0 ni sporni govor
mehanska priprava črevesa pred rekonstrukcijsko operacijo zaradi prolapsa maternice ni potrebna,2 žalitev
pravkar igram igro biathlon mania pridruži se in me poskusi premagati,2 žalitev
lepo da ste pokazali primarno zahojenega zlovenca to bo pomagalo proti podebiljanju slovenije,0 ni sporni govor
narobe si razumel snemali so islamiste kaj bi bilo šele če bi snemali kristjane ki so veliko bolj izprijeni in pokvarjeni,0 ni sporni govor
gregor bo moral še kakšno knjigo prelistati prejdan da odgovor malo počakajte prosim,2 žalitev
in hvala za tole miselseveda mi spet tečejo solze ampak to so moje prve solze ki se jih ne sramujem,2 žalitev
ti sploh ne veš kako so teli petki manjkali js že komi čakam sebata in tisto žvižganje v ozadju da latrine ne omenjam,2 žalitev
pravkar igram igro biathlon mania pridruži se in me poskusi premagati,0 ni sporni govor
kdo vam laže 05122018 nova24tv gostja lucija šikovec ušaj via,2 žalitev
akanal ogled za nazaj na sioltv mogoce je to no boljse slika prej kot zvok,0 ni sporni govor
sodni svet je pod kerševanom izgubil vso kredibilnost zdaj hočejo s pravilnikom totalno zmašiti usta sodnikom,1 nespodobni govor
dokler bo večerjal lubenice in pil limonado ne bo streljanja,0 ni sporni govor
organizacijo je potrebno uničiti od zunaj ne gre prostovoljno sem se infiltriral,0 ni sporni govor
zdej je baje sam še terror boy ostalo,2 žalitev
cdi univerzum šola za odrasle išče nove sodelavce,0 ni sporni govor
